id,crn,date,subj,sub_num,course,location,section,description,instructor,credit
0,10005,"4:10 - 6:00 PM, MW",AAS,017,AAS 017,WELLMN 202,001,Women in Africa,"Adejunmobi, M",4.0
1,10006,"4:10 - 5:00 PM, T",AAS,018,AAS 018,WELLMN 101,A01,Intro Caribbean Studies,"Ng'weno, B",4.0
2,44236,"6:10 - 7:00 PM, T",AAS,050,AAS 050,WELLMN 105,A01,Black Images,"White, E",4.0
3,44240,"12:10 - 2:00 PM, TR",AAS,107B,AAS 107B,WELLMN 201,001,Afr Heritage North Am,"White, E",4.0
4,10022,"2:10 - 4:00 PM, MW",AAS,145A,AAS 145A,HOAGLD 113,001,Blk Soc & Pol Thought,"Weber, B",4.0
5,45348,"12:10 - 2:00 PM, TR",AAS,155A,AAS 155A,REMOTE,001,Afram Dance & Culture,4.0,
6,44241,"4:10 - 6:00 PM, TR",AAS,176,AAS 176,HOAGLD 113,001,Politics of Resources,"Mukiibi, E",4.0
7,44242,"12:10 - 2:00 PM, MW",AAS,177,AAS 177,STORER 1342,001,Politics of Life in Afri,"Taodzera, S",4.0
8,44389,"10:00 - 11:50 AM, MW",AAS,183A,AAS 183A,HOAGLD 113,001,"Police, Prison & Protest","Weber, B",4.0
9,10061,"1:10 - 4:00 PM, R",AAS,204,AAS 204,HART 2215,001,Methodology,"Ng'weno, B",4.0
10,10670,"4:10 - 5:00 PM, M",AGC,290,AGC 290,OLSON 250,001,Seminar,"Anastasio, C",1.0
11,12471,"5:10 - 6:00 PM, T",ARE,100A,ARE 100A,WELLMN 201,A01,Intermed Microeconomics,"Shenoy, A",4.0
12,12477,"6:10 - 7:00 PM, M",ARE,100B,ARE 100B,OLSON 167,A01,Intermed Microeconomics,"Goodrich, R",4.0
13,12489,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A01,Econometrics,"Smith, A",4.0
14,12497,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A01,Econometrics for Bus Dec,"Ghanem, D",4.0
15,12501,"4:10 - 6:00 PM, MW",ARE,112,ARE 112,KLEIBR 3,001,Organization Management,"Lundblad, G",4.0
16,12502,"12:10 - 2:00 PM, MW",ARE,113,ARE 113,WELLMN 109,001,Marketing Management,"Lundblad, G",4.0
17,12503,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A01,Economic Development,"Lybbert, T",4.0
18,12513,"3:10 - 4:30 PM, TR",ARE,121,ARE 121,VEIMYR 212,A01,Econ of Ag Sustain,"Merel, P",4.0
19,12515,"10:00 - 11:50 AM, TR",ARE,132,ARE 132,WELLMN 234,001,Coop Business Enterprise,"Kiesel, K",4.0
20,12516,"1:40 - 3:00 PM, TR",ARE,136,ARE 136,GROVE 1309,A01,Managerial Marketing,"Kiesel, K",4.0
21,12519,"6:10 - 8:00 PM, TR",ARE,145,ARE 145,STORER 1322,001,Farm & Rural Res Apprais,"Maus, J",4.0
22,12520,"5:10 - 6:00 PM, T",ARE,146,ARE 146,HOAGLD 108,A01,Business/Gov't Reg/Soc,"Novan, K",4.0
23,12525,"5:10 - 6:00 PM, M",ARE,155,ARE 155,WELLMN 205,A01,Oper Res & Mgmt Sci,"Constantine, J",4.0
24,12531,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A01,Principles of Finance,"Hilscher, J",4.0
25,12537,TBA,ARE,172,ARE 172,REMASY,A01,Financial Mgmt of Firm,"Goodrich, R",4.0
26,12719,"10:30 - 11:50 AM, TR",ARE,200B,ARE 200B,CRUESS 107,001,Micro Theory,"Carvajal Escobar, A",4.0
27,12720,"10:00 - 11:50 AM, MW",ARE,202B,ARE 202B,PHYSIC 148,001,Applied Microeconomics,"Merel, P",4.0
28,12721,"10:00 - 11:50 AM, MW",ARE,204B,ARE 204B,STORER 1344,001,Micro Analysis II,"Sexton, R",4.0
29,12722,"2:10 - 3:30 PM, TR",ARE,215B,ARE 215B,OLSON 6,001,Open Macro Development,"Shenoy, A",4.0
30,12723,"3:40 - 4:00 PM, MW",ARE,232,ARE 232,WELLMN 5,001,Commodity Markets,"Goodhue,Sexton",4.0
31,12724,"11:00 - 11:50 AM, F",ARE,240A,ARE 240A,BAINER 1130,001,Econometric Methods,"Smith, A",4.0
32,12725,"9:00 - 9:50 AM, M",ARE,240C,ARE 240C,SOCSCI 2102,001,Time Series Econometrics,"Gafarov, B",4.0
33,12726,"2:10 - 3:30 PM, MW",ARE,256B,ARE 256B,STORER 1342,001,Applied Econometrics II,"Gafarov, B",4.0
34,12727,"2:10 - 4:00 PM, TR",ARE,275,ARE 275,WELLMN 127,001,Resource & Environ Econ,"Agerton, M",4.0
35,12728,"4:10 - 6:00 PM, TR",ARE,277,ARE 277,WICKSN 2124,001,Natural Resource Econ,"Sanchirico, J",4.0
36,12729,"12:10 - 1:30 PM, W",ARE,293,ARE 293,HART 1106,001,Anlys Cal Ag & Resources,"Goodhue, R",3.0
37,10651,"3:10 - 5:00 PM, M",AED,100,AED 100,WELLMN 115,001,Ag & Env Educ,"Martindale, M",3.0
38,10666,TBA,AED,300,AED 300,TBA,001,Tchng Field Experience,"Van Alfen, N",2.0
39,10853,"6:10 - 7:00 PM, T",AMS,001E,AMS 001E,WELLMN 123,A01,Nature & Culture in Amer,"Bayles, M",4.0
40,10864,"4:10 - 5:00 PM, T",AMS,010,AMS 010,STORER 1344,A01,Intro American Studies,"Wang, G",4.0
41,10872,"10:30 - 11:50 AM, TR",AMS,059,AMS 059,WELLMN 2,A01,Music & Amer Culture,"Decristo, J",4.0
42,10879,"9:00 - 9:50 AM, M",AMS,095,AMS 095,HOAGLD 113,A01,Careers/Identity Amr Cul,"Meyer,Wang",2.0
43,10907,"3:10 - 4:30 PM, TR",AMS,101H,AMS 101H,HUNT 110,001,Special Topics,"Decristo, J",4.0
44,44426,TBA,AMS,130,AMS 130,TBA,001,Amer Pop Culture,"Bayles, M",4.0
45,10909,"11:00 - 11:50 AM, TR",AMS,152,AMS 152,VEIMYR 212,001,Children In America,"Smoodin, E",4.0
46,10910,"9:00 - 11:50 AM, M",AMS,160,AMS 160,REMOTE,001,Undergraduate Seminar,"Arbona-Homar, J",4.0
47,10211,"10:30 - 11:50 AM, TR",ABI,050B,ABI 050B,BAINER 1060,001,Animal Biology,"Nansen, C",3.0
48,10230,"8:00 - 8:50 AM, MTWR",ABI,102,ABI 102,CALIFO 1100,001,Animal Biochem & Metabol,"Hackmann, T",5.0
49,10231,"6:10 - 7:00 PM, W",ABI,103,ABI 103,CALIFO 1100,001,Animal Biochem & Metabol,"Hess, M",5.0
50,10232,"12:10 - 1:00 PM, W",ABI,187,ABI 187,WELLMN 115,001,Animal Biology Seminar,"Kimsey, R",2.0
51,11162,"1:10 - 2:00 PM, MW",ANG,111,ANG 111,MEYER 1330,001,Molecular Biol Lab Tech,"Maga, E",4.0
52,11224,"9:00 - 9:50 AM, MWF",ANS,015,ANS 015,STORER 1322,001,Intro Horse Husbandry,"Mienaltowski, M",3.0
53,11225,"2:10 - 5:00 PM, R",ANS,022B,ANS 022B,AHHOG,001,Animal Evaluation,"Pettey, L",2.0
54,11226,"3:10 - 6:00 PM, T",ANS,041L,ANS 041L,ASTF,A01,Domestic Animal Prod Lab,"Pettey, L",2.0
55,11230,"11:00 - 11:50 AM, M",ANS,042,ANS 042,MEYER 1131,A01,Companion Animals,"Oberbauer, A",4.0
56,44921,"9:00 - 11:50 AM, M",ANS,049C,ANS 049C,DAIRY,A01,Animal Prac/Dairy,"Todgham, A",2.0
57,44942,"11:00 - 11:50 AM, T",ANS,049E,ANS 049E,MEYER 1131,A01,Animal Prac/Horses,"Todgham, A",2.0
58,44945,"2:10 - 3:00 PM, W",ANS,049F,ANS 049F,MEYER 1338,A01,Animal Prac/Lab Animals,"Todgham, A",2.0
59,44947,"9:00 - 11:50 AM, T",ANS,049G,ANS 049G,COLE C,A01,Animal Prac/Meats,"Todgham, A",2.0
60,44952,"8:00 - 10:50 AM, M",ANS,049I,ANS 049I,SHEEPB,A01,Animal Prac/Sheep,"Todgham, A",2.0
61,44956,"12:10 - 1:00 PM, R",ANS,049J,ANS 049J,AHHOG,A01,Animal Prac/Swine,"Todgham, A",2.0
62,11422,"1:10 - 2:00 PM, MWF",ANS,108,ANS 108,YOUNG 184,001,Equine Behavr & Welfare,"McLean, A",3.0
63,11423,"9:00 - 9:50 AM, MWF",ANS,120,ANS 120,WELLMN 1,001,Meat Science,"Yang, X",3.0
64,45084,"1:10 - 2:00 PM, W",ANS,120L,ANS 120L,COLE C 162B,001,Meat Science Lab,"Yang, X",2.0
65,11424,"9:00 - 10:50 AM, T",ANS,124,ANS 124,MEYER 1330,A01,Lactation,"Hovey, R",4.0
66,45085,"12:10 - 1:30 PM, TR",ANS,126,ANS 126,HOAGLD 113,001,Equine Nutrition,"McLean, A",3.0
67,11429,"2:10 - 3:00 PM, T",ANS,128,ANS 128,MEYER 1131,001,Agr Applications of LP,The Staff,4.0
68,11430,"10:00 - 10:50 AM, W",ANS,134,ANS 134,MEYER 1330,001,Animal Nutrition Lab,"Liu, Y",3.0
69,45460,"12:10 - 1:30 PM, TR",ANS,142,ANS 142,OLSON 250,A01,Companion Animal Care,"Pettey, E",4.0
70,45100,"1:10 - 2:00 PM, W",ANS,150,ANS 150,OLSON 223,A01,Animal Health & Disease,"Moody, C",4.0
71,45103,"10:00 - 12:50 PM, T",ANS,160A,ANS 160A,AHHOG,001,Stress & Reproduction I,"Berger,Horback",2.0
72,11759,"12:10 - 1:00 PM, M",ANS,291,ANS 291,HART 1128,001,Cur Research Animal Sci,"Denicol, A",1.0
73,11925,"9:00 - 10:20 AM, TR",ANT,001,ANT 001,MONDAV 114,A01,Human Evolutionary Bio,"Weaver, T",4.0
74,11936,"8:00 - 9:20 AM, MW",ANT,002,ANT 002,HARING 2016,001,Cultural Anthropology,"Malachowski, J",5.0
75,11966,"9:00 - 10:20 AM, TR",ANT,003,ANT 003,OLSON 206,A01,Intro to Archaeology,"Darwent, J",4.0
76,44992,"12:10 - 1:30 PM, MW",ANT,020,ANT 020,OLSON 250,001,Comparative Cultures,"Sawyer, S",4.0
77,44747,"1:10 - 2:00 PM, MW",ANT,026,ANT 026,TLC 1020,001,Mummies,"Eerkens, J",2.0
78,44993,"10:00 - 11:20 AM, MW",ANT,104N,ANT 104N,HARING 2016,001,Cultural Politics Enviro,"Sawyer, S",4.0
79,12038,"1:40 - 2:00 PM, TR",ANT,125B,ANT 125B,GIEDT 1007,001,Postmodernism & Culture,"Mojaddedi, F",4.0
80,45022,"10:00 - 11:20 AM, MW",ANT,126A,ANT 126A,WALKER 1320,001,Anthro of Development,"Zhang, L",4.0
81,44753,"4:10 - 5:00 PM, MW",ANT,128A,ANT 128A,OLSON 223,001,Kinship & Social Org,"Rauch, K",4.0
82,45226,"2:10 - 3:30 PM, MW",ANT,130A,ANT 130A,WALKER 1320,001,Globalization,"Robins, A",4.0
83,44997,"12:10 - 1:30 PM, TR",ANT,135,ANT 135,ART 204,001,Media Anthropology,"Elhaik, T",4.0
84,45023,"12:10 - 2:00 PM, MW",ANT,148A,ANT 148A,OLSON 146,001,Cult Pol Econ Cont China,"Zhang, L",4.0
85,12054,"3:10 - 4:00 PM, R",ANT,153,ANT 153,WELLMN 129,A01,Hum Genetics: Mut & Mig,"Henn, B",5.0
86,44750,"2:10 - 5:00 PM, R",ANT,156B,ANT 156B,YOUNG 210,001,Advanced Human Osteology,"Weaver, T",4.0
87,12058,"9:00 - 10:20 AM, TR",ANT,185,ANT 185,YOUNG 302,001,Lithic Analysis,"Zwyns, N",4.0
88,12205,"9:00 - 11:50 AM, F",ANT,210,ANT 210,REMOTE,001,Aspect/Cult Struct,"Giordano, C",4.0
89,45201,"10:30 - 1:30 PM, R",ANT,216,ANT 216,YOUNG 224,001,Probs-Archaeol Meth,"Steele, T",4.0
90,12207,"4:10 - 5:00 PM, M",ANT,270,ANT 270,YOUNG 210,001,Anthro Colloq Sem,"Zwyns, N",1.0
91,44836,"12:10 - 1:00 PM, M",ABT,016,ABT 016,WCAE,A01,Metal Prop & Fabrication,"Frank, D",2.0
92,10337,"1:10 - 4:00 PM, R",ABT,052,ABT 052,WCAE,A01,Field Equipment Welding,"Frank, D",2.0
93,10397,"12:10 - 1:00 PM, TR",ABT,101,ABT 101,WCAE,A01,Engine Technology,"Frank, D",3.0
94,10399,"9:00 - 11:50 AM, R",ABT,161,ABT 161,BAINER 1326,001,Water Qual Aquaculture,"Hung, T",3.0
95,44775,"1:10 - 4:00 PM, TR",ABT,182,ABT 182,HUNT 253,A01,Environ GIS Application,"Moghimi, A",4.0
96,12373,"11:00 - 11:50 AM, MTWR",ARB,022,ARB 022,OLSON 217,002,Intermediate Arabic 22,"Hassouna, S",4.0
97,12383,"1:40 - 3:00 PM, TR",ARB,122,ARB 122,OLSON 141,001,Advanced Arabic,"Radwan, N",4.0
98,10710,"9:00 - 9:50 AM, M",AHI,001B,AHI 001B,EVERSN 157,A01,Mediev & Renaiss Art,"Riordan, L",4.0
99,44427,"10:00 - 11:50 AM, MW",AHI,163B,AHI 163B,ART 217,001,Chinese Painting,"Burnett, K",4.0
100,45333,"10:30 - 11:50 AM, TR",AHI,180,AHI 180,ART 217,001,Arts of the Rococo,"Yonan, M",4.0
101,44432,"1:40 - 3:00 PM, TR",AHI,188B,AHI 188B,ART 217,001,U S Architecture,"Cogdell, C",4.0
102,10748,"12:10 - 3:00 PM, W",AHI,190H,AHI 190H,EVERSN 157,001,Seminar Mod-Contemp Art,"Grigor, T",4.0
103,10749,"3:10 - 6:00 PM, R",AHI,190I,AHI 190I,EVERSN 157,001,Seminar 17th-18th C Art,"Yonan, M",4.0
104,10798,"2:10 - 5:00 PM, F",AHI,200C,AHI 200C,EVERSN 157,001,Thesis Writing,"Strazdes, D",1.0
105,12864,"9:00 - 11:50 AM, TR",ART,005,ART 005,ART 112,001,Beginning Sculpture,"Cohen, N",5.0
106,12866,"1:10 - 4:00 PM, TR",ART,007,ART 007,ART 329,001,Beginning Painting,"White, D",5.0
107,44255,"9:00 - 11:50 AM, TR",ART,008,ART 008,TB 9,001,Beg Ceramic Sculpture,"Higgins O'Connor, M",5.0
108,12868,"9:30 - 12:20 PM, TR",ART,009,ART 009,ART 55,001,Beginning Photography,"Hyde, T",5.0
109,12870,"9:00 - 11:50 AM, TR",ART,011,ART 011,ART 309,001,Beginning Printmaking,"Mcdougal,The Staff",5.0
110,44264,"5:10 - 8:00 PM, MW",ART,012,ART 012,REMOTE,001,Beginning Video,"Seraj, A",5.0
111,44256,"1:10 - 4:00 PM, TR",ART,101A,ART 101A,ART 331,001,Intermediate Painting,"Vinokurov, B",5.0
112,44261,"1:10 - 4:00 PM, MW",ART,101C,ART 101C,ART 229,001,Int Painting Watercolor,"Ahmadi, S",5.0
113,44262,"1:10 - 4:00 PM, TR",ART,105A,ART 105A,ART 231,001,AdvDrwing:StudioProjects,"Pardee, W",5.0
114,44263,"9:00 - 11:50 AM, MW",ART,110A,ART 110A,ART 55,001,IntermedPhoto:B&WAnalog,"Nickel, C",4.0
115,12902,"1:10 - 4:00 PM, TR",ART,110B,ART 110B,ART 55,001,IntmedPhoto:Digital,"Hyde, T",4.0
116,45218,"5:10 - 8:00 PM, TR",ART,114A,ART 114A,ART 55,001,IntermedVideo: Animation,"Martin, D",4.0
117,45530,"1:10 - 4:00 PM, TR",ART,125E,ART 125E,ART 309,001,Post-Digital Print Media,5.0,
118,44664,"1:10 - 4:00 PM, TR",ART,142C,ART 142C,TB 9,001,IntCerSculp:PaintSurface,"Higgins O'Connor, M",5.0
119,12908,"1:10 - 4:00 PM, TR",ART,151,ART 151,ART 124,001,Intermediate Sculpture,"Hill, R",5.0
120,12927,TBA,ART,195,ART 195,TBA,001,Artist Lecture Series,"Ahmadi, S",1.0
121,12962,"5:10 - 8:00 PM, T",ART,225,ART 225,ART 125,001,Professional Practice,"Hill, R",4.0
122,44257,"5:10 - 8:00 PM, W",ART,227,ART 227,ART 125,001,Interdisciplinary Studio,"Werfel, G",4.0
123,12963,TBA,ART,290B,ART 290B,TBA,001,Crit Disc Studio Pract,"Martin, D",4.0
124,12964,TBA,ART,290E,ART 290E,TBA,001,Critical Disc on Media,"Ahmadi, S",4.0
125,45261,"2:10 - 4:00 PM, TR",ASA,189B,ASA 189B,HUTCH 102,001,Topics Asian Am Culture,"Jerng, M",4.0
126,45176,"2:10 - 3:30 PM, TR",AST,010S,AST 010S,SOCSCI 1100,001,Astro of Solar System,"Valenti, S",3.0
127,13285,"10:00 - 10:50 AM, MWF",ATM,121A,ATM 121A,WELLMN 129,001,Atmos Dynamics,"Ullrich, P",4.0
128,13287,"12:10 - 1:00 PM, M",ATM,133,ATM 133,OLSON 106,001,Biometeorology,"Monier,Paw U",4.0
129,44665,"9:00 - 10:50 AM, TR",ATM,221,ATM 221,OLSON 163,001,Adv Atmos Dynamics,"Nathan, T",3.0
130,14731,"9:00 - 9:50 AM, MWF",BCB,212,BCB 212,OLSON 147,001,Cell Biology,"Albeck, J",3.0
131,14732,"10:00 - 10:50 AM, MWF",BCB,213,BCB 213,OLSON 141,001,Developmental Biology,"Draper,Lott",3.0
132,14733,"1:00 - 2:30 PM, W",BCB,220L,BCB 220L,BRIGGS 148,001,Adv Biochem Lab Rotation,"Baldwin,Juliano",5.0
133,45247,TBA,BCB,256,BCB 256,TBA,001,Cell & Molec Biol Cancer,"Ghosh,Mudryj",3.0
134,15383,"8:00 - 9:50 AM, T",BIS,002A,BIS 002A,SCILAB 2067,A01,Introduction to Biology,"Igo, M",5.0
135,15424,"8:00 - 10:50 AM, T",BIS,002B,BIS 002B,SCILAB 1080,A01,Introduction to Biology,"Furrow,Keen",5.0
136,15474,"8:30 - 11:20 AM, T",BIS,002C,BIS 002C,SCILAB 3079,A01,Introduction to Biology,"Ledford,Rodrigues,Ward",5.0
137,15518,"9:00 - 10:20 AM, TR",BIS,002D,BIS 002D,HART 1150,001,Intro to Cell Biology,"Diaz, E",3.0
138,15530,"12:10 - 2:00 PM, TR",BIS,015L,BIS 015L,SCC 2102,001,Data Science for Bio,"Ledford, J",2.0
139,15531,"2:10 - 4:00 PM, F",BIS,020Q,BIS 020Q,SCILAB 2020,001,Modeling in Biology,"Collins, S",2.0
140,15532,"12:10 - 2:00 PM, R",BIS,027A,BIS 027A,HUTCH 93,001,Linear Alg Appl to Bio,"Arsuaga, F",4.0
141,15552,"10:00 - 10:50 AM, F",BIS,101D,BIS 101D,PHYSIC 148,001,Genes and Gene Exp Disc,"Ellefson Crowder, M",1.0
142,15578,"9:00 - 10:20 AM, TR",BIS,104,BIS 104,CALIFO 1100,001,Cell Biology,"Starr, D",3.0
143,15580,"10:00 - 10:50 AM, MWF",BIS,105,BIS 105,GIEDT 1002,001,Biomolecule & Metabolism,"Hilt, K",3.0
144,15938,TBA,BPT,201,BPT 201,TBA,001,Topics in Biophotonics,"Marcu, L",1.0
145,15789,"1:40 - 3:00 PM, TR",BPH,200A,BPH 200A,WELLMN 233,001,Current Tech Biophys,"Fomina, A",3.0
146,15940,"4:10 - 5:30 PM, MW",BST,223,BST 223,SOCSCI 70,001,Generalized Lin Models,"Mueller, H",4.0
147,15613,"7:10 - 8:00 PM, T",BIT,091,BIT 091,CHEM 179,001,Exploring Biotechnology,"Beckles, D",1.0
148,15672,"1:10 - 2:30 PM, MW",BIT,161A,BIT 161A,BOWLEY 101,001,Genetics & Biotech Lab,"Beckles, D",6.0
149,18705,"2:10 - 4:00 PM, F",DEB,263,DEB 263,WELLMN 212,001,Basic Biotechnology,"Faller,Jamison-McClung",2.0
150,18708,"11:00 - 11:50 AM, F",DEB,294,DEB 294,LSA 1022,001,Progress Biotechnology,"Jamison-McClung,Mcdonald",1.0
151,14719,"TBA, S",BAX,402,BAX 402,TBA,001,Org Issues in Analytics,"Dokko, G",3.0
152,14721,"TBA, S",BAX,422,BAX 422,TBA,001,Data Design & Repres,"Boehnke, J",2.0
153,14723,"TBA, F",BAX,442,BAX 442,TBA,001,Advanced Statistics,"Naik, P",3.0
154,14725,"TBA, F",BAX,452,BAX 452,TBA,001,Machine Learning,"Boehnke, J",3.0
155,14727,"TBA, S",BAX,462,BAX 462,TBA,001,Practicum Elaboration,"Carter, J",2.0
156,14729,TBA,BAX,493A,BAX 493A,TBA,001,Cloud Computing,"Naik, P",1.0
157,45304,"1:10 - 4:00 PM, M",CHE,004B,CHE 004B,CHEM A 3435,A01,Chem for Phy Sci & Eng,"Larsen, D",5.0
158,16463,"9:00 - 11:50 AM, T",CHE,008B,CHE 008B,EPHSCI 3303,A01,Organic Chemistry-Brief,"Nasiri, M",4.0
159,16602,"8:00 - 9:20 AM, TR",CHE,107A,CHE 107A,GIEDT 1002,001,Physical Chem Life Sci,"Koski, K",3.0
160,16607,"10:00 - 10:50 AM, M",CHE,110C,CHE 110C,BAINER 1134,001,Phys Chem: Thermo & Kin,"Stuchebrukhov, A",4.0
161,16608,"1:10 - 4:00 PM, TR",CHE,115,CHE 115,CHEM A 3475,A01,Instrumental Analysis,"Liu, G",4.0
162,16611,"6:10 - 7:30 PM, W",CHE,118A,CHE 118A,OLSON 217,A01,Organic Chem Health Sci,"Lievens, S",4.0
163,16632,"9:00 - 11:50 AM, T",CHE,118B,CHE 118B,EPHSCI 2354,A01,Organic Chem Health Sci,"Helix, M",4.0
164,16667,"10:00 - 10:50 AM, MWF",CHE,124A,CHE 124A,ART 204,001,Inorg Fundamentals,"Balch, A",3.0
165,16668,"11:00 - 11:50 AM, MWF",CHE,124B,CHE 124B,ART 204,001,Inorg Main Group,"Osterloh, F",3.0
166,16669,"2:10 - 5:00 PM, MW",CHE,125,CHE 125,CHEM A 3475,001,Adv Methods Phys Chem,"Augustine, M",4.0
167,16671,"11:00 - 11:50 AM, MWF",CHE,128B,CHE 128B,STORER 1322,001,Organic Chemistry,"Beal, P",3.0
168,16672,"8:00 - 8:50 AM, TR",CHE,129A,CHE 129A,HUTCH 115,A01,Organic Chem Lab,The Staff,2.0
169,16676,"1:10 - 4:00 PM, MW",CHE,129B,CHE 129B,EPHSCI 2342,001,Organic Chem Lab,"Nasiri, M",2.0
170,16680,"9:00 - 10:50 AM, R",CHE,130B,CHE 130B,SCILAB 2020,001,Pharmaceutical Chemistry,3.0,
171,17078,"10:00 - 10:50 AM, MWF",CHE,205,CHE 205,SOCSCI 80,001,Spectroscopy,"Larsen, D",3.0
172,17079,"11:00 - 11:50 AM, MWF",CHE,210A,CHE 210A,VEIMYR 116,001,Quantum Chem: Intro,"Mccurdy, C",3.0
173,17080,"12:10 - 1:00 PM, MWF",CHE,211B,CHE 211B,OLSON 109,001,Stat Mech,"Stuchebrukhov, A",3.0
174,17081,"1:40 - 3:00 PM, TR",CHE,219,CHE 219,BAINER 1132,001,Organic Spectroscopy,"Franz, A",3.0
175,17082,"8:00 - 10:20 AM, T",CHE,219L,CHE 219L,TBA,001,Organic Spectroscopy Lab,1.0,
176,17085,"9:00 - 9:50 AM, MWF",CHE,222,CHE 222,GROVE 1283,001,Chem of Nanoparticles,"Osterloh, F",3.0
177,45282,"11:00 - 11:50 AM, MWF",CHE,228C,CHE 228C,YOUNG 192,001,Solid State Chem,"Kauzlarich, S",3.0
178,17086,"9:00 - 9:50 AM, MWF",CHE,231A,CHE 231A,OLSON 223,001,Organic Synthesis,"Pitts, C",4.0
179,17087,"2:10 - 3:30 PM, MW",CHE,237,CHE 237,WELLMN 235,001,Bio-organic Chem,"Atsumi, S",3.0
180,17088,"12:10 - 1:00 PM, MWF",CHE,241C,CHE 241C,OLSON 101,001,Mass Spectrometry,The Staff,3.0
181,17491,"5:10 - 6:30 PM, MW",CHI,021,CHI 021,REMOTE,001,Health Issues,"Rojas, C",4.0
182,45566,"9:00 - 10:20 AM, TR",CHI,023,CHI 023,REMOTE,A01,Qual Research Methods,"Torreiro-Casal, M",4.0
183,17492,"4:10 - 5:00 PM, R",CHI,040,CHI 040,OLSON 207,A01,Comparative Health,"Brazil-Cruz, L",4.0
184,45567,TBA,CHI,060,CHI 060,TBA,A01,Chicana/o Rep in Cinema,"Diaz, V",4.0
185,17532,"12:10 - 1:30 PM, TR",CHI,114,CHI 114,REMOTE,001,Reproductive Health,"Deeb Sossa, N",4.0
186,17534,"9:00 - 10:20 AM, TR",CHI,125S,CHI 125S,HUTCH 115,001,Latinos & Globalization,"Allen, Y",4.0
187,17537,"6:10 - 8:00 PM, TR",CHI,140A,CHI 140A,REMOTE,001,Quantitative Methods I,"Medel-Herrero, A",4.0
188,17543,"10:00 - 11:50 AM, MW",CHI,170,CHI 170,CRUESS 1003,001,Contemp Iss in Chi Art,"Posada, G",4.0
189,17545,"10:30 - 11:50 AM, TR",CHI,184,CHI 184,REMOTE,001,Latino Youth Gangs,"Gonzales, M",4.0
190,17611,"11:00 - 11:50 AM, MTWRF",CHN,002BL,CHN 002BL,HART 1116,001,Accel Written Chinese II,"Yin, H",5.0
191,17613,"10:00 - 10:50 AM, MTWRF",CHN,004,CHN 004,WELLMN 105,001,Intermediate Chinese,"Yang, B",5.0
192,44594,"3:40 - 4:00 PM, MW",CHN,109G,CHN 109G,WELLMN 230,001,Lit 20th-Cent Taiwan,"Yeh, M",4.0
193,44600,"6:10 - 7:30 PM, MW",CHN,131,CHN 131,WELLMN 212,001,Trad Chn Poetry,"Yeh, M",4.0
194,44216,"10:30 - 11:50 AM, TR",CTS,040A,CTS 040A,HARING 2016,A01,Media History 1,The Staff,4.0
195,45257,"2:10 - 4:00 PM, MW",CTS,124E,CTS 124E,ART 230,001,Costume for Film,"Morgan, M",4.0
196,18696,"4:40 - 6:00 PM, TR",CTS,147A,CTS 147A,OLSON 223,001,Chinese Film,"Shao, X",4.0
197,44218,"1:40 - 3:00 PM, TR",CTS,162,CTS 162,CRUESS 1003,001,Surveillance Studies,"Brunton, F",4.0
