id,crn,date,subj,sub_num,course,location,section,description,instructor,credit
198,16088,"9:00 - 9:50 AM, F",CDM,041A,CDM 041A,BAINER 1128,A01,Cinema History 1895-1945,"Smoodin, E",4.0
199,17704,"1:10 - 2:00 PM, MWF",CLA,030,CLA 030,PITZER 1010,001,Word Roots,"Brelinski, T",3.0
200,44584,"12:10 - 1:30 PM, TR",CLA,140,CLA 140,VEIMYR 116,001,Homer & Ancient Epic,"Hexter, R",4.0
201,45351,"4:10 - 6:00 PM, TR",CGS,138,CGS 138,WELCTR 1116,001,Consciousness&Cognition,"Pageler, B",4.0
202,17813,TBA,CMN,003V,CMN 003V,ONLINE,A01,Interpersonal Comm Comp,"Theobald, J",4.0
203,17826,TBA,CMN,010V,CMN 010V,TBA,A01,Intro to Communication,"Theobald, J",4.0
204,17833,"9:00 - 10:20 AM, R",CMN,012Y,CMN 012Y,HUTCH 93,A01,Data Visualization,"Frey, S",4.0
205,17883,"10:00 - 11:50 AM, MW",CMN,141,CMN 141,TLC 1214,001,Media Effects,"Cingel, D",4.0
206,44886,"10:30 - 11:50 AM, TR",CMN,143,CMN 143,BAINER 1130,001,Analysis Media Messages,"Cho, J",4.0
207,45481,"9:30 - 10:50 AM, MW",CMN,144,CMN 144,OLSON 205,001,Media Entertainment,"Taylor, L",4.0
208,17893,TBA,CMN,170V,CMN 170V,ONLINE,A01,Digt Tech & Socil Change,"Hilbert, M",4.0
209,17894,"12:10 - 2:00 PM, MW",CMN,174,CMN 174,OLSON 6,001,Social Media,"Shen, C",4.0
210,44893,"3:10 - 4:30 PM, TR",CMN,178,CMN 178,BAINER 1130,001,Persuasive Technologies,"Zhang, J",4.0
211,44894,"1:10 - 5:00 PM, M",CMN,202,CMN 202,KERR,001,Comm Theory Construction,"Cingel, D",4.0
212,44896,"3:10 - 6:00 PM, W",CMN,214,CMN 214,HART 1106,001,Analysis Commun Networks,"Shen, C",4.0
213,44897,"2:10 - 6:00 PM, T",CMN,252,CMN 252,KERR,001,Computer-Mediated Commun,"Pena, J",4.0
214,44917,"8:00 - 9:50 AM, MW",CRD,156,CRD 156,YOUNG 184,A01,Community Econ Develop,The Staff,5.0
215,18459,"4:10 - 6:00 PM, R",CRD,157,CRD 157,REMOTE,001,Politics & Community Dev,"Aranda, A",4.0
216,44919,"8:00 - 9:50 AM, TR",CRD,164,CRD 164,YOUNG 184,A01,Community Change Orgs,"Chu, E",5.0
217,45012,"1:10 - 5:00 PM, M",CRD,249,CRD 249,HUNT 166,001,Media Innov Commun Devel,"Drew, J",4.0
218,18516,"10:00 - 11:50 AM, W",CRD,260,CRD 260,WELLMN 5,001,Thesis Seminar,"Crump, A",2.0
219,45234,"10:00 - 10:50 AM, MWF",COM,053B,COM 053B,OLSON 223,001,Literature of South Asia,"Rajagopalan, M",4.0
220,44644,"10:00 - 1:00 PM, R",CST,250,CST 250,HART 3114,001,Research Seminar,"Whithaus, C",4.0
221,18751,"2:10 - 4:00 PM, TR",DES,014,DES 014,CRUESS 210,001,Design Drawing,"Abplanalp, S",4.0
222,44243,"9:00 - 10:20 AM, TR",DES,040C,DES 040C,CRUESS 1002,A01,Design Aesthetics/Exper,"Housefield, J",4.0
223,18763,"2:10 - 5:00 PM, TR",DES,051,DES 051,SCC 2103,001,CAD for Designers,"Pierre, J",4.0
224,18764,"4:10 - 5:00 PM, MW",DES,077,DES 077,CRUESS 132,001,Intro to Fashion Design,"Zhang, A",4.0
225,18788,"9:00 - 9:50 AM, MW",DES,116,DES 116,CRUESS 207,001,VisCom: Graphic Design,"Quarton, M",4.0
226,18789,"5:10 - 6:00 PM, TR",DES,117,DES 117,SCC 2102,001,Interactive Media I,"Bonomo, A",4.0
227,44251,"10:30 - 11:50 AM, TR",DES,127A,DES 127A,ARTANX 107,A01,Sustainable Design,"Ferguson, B",4.0
228,44434,"1:10 - 2:00 PM, MW",DES,134A,DES 134A,CRUESS 210,001,Intro Interior Design,"Snyder, B",4.0
229,18792,"9:00 - 9:50 AM, TR",DES,134B,DES 134B,CRUESS 120,001,Intro Interior Design,"Kessler, M",4.0
230,18803,"2:10 - 4:00 PM, MW",DES,154,DES 154,CRUESS 208,001,Message Campaign Design,"Quarton, M",4.0
231,44436,"9:00 - 11:20 AM, TR",DES,157B,DES 157B,SCC 2102,001,Interactive Media III,"Drew, G",4.0
232,44443,"4:10 - 7:00 PM, TR",DES,165,DES 165,CRUESS 1105,001,Industrial Design,"Ferguson, B",4.0
233,18808,"9:00 - 11:50 AM, TR",DES,167,DES 167,CRUESS 1105,001,Prototyping,"Maiorana, T",4.0
234,18809,"9:00 - 11:50 AM, MW",DES,175,DES 175,CRUESS 132,001,Func Apparel Design,"Goncu Berk, G",4.0
235,18810,"2:10 - 4:00 PM, MW",DES,179,DES 179,CRUESS 132,001,Signature Collection,"Goncu Berk, G",4.0
236,44444,"1:10 - 2:00 PM, TR",DES,180A,DES 180A,CRUESS 120,001,Adv Interior Design,"Kessler, M",4.0
237,44445,"10:00 - 11:50 AM, TR",DES,186,DES 186,CRUESS 210,001,Environmental Graphics,"Mcneil, T",4.0
238,19132,"10:00 - 11:50 AM, MW",DRA,021A,DRA 021A,WRIGHT 120,001,Fundamentals of Act,"Leavy, M",4.0
239,44626,"10:00 - 11:50 AM, MW",DRA,024,DRA 024,WYATT,001,Vis Aspect Dram Art,"Morgan, M",4.0
240,19156,"12:10 - 2:00 PM, MW",DRA,040B,DRA 040B,H GYM 185,001,Intermed Modern Dance,2.0,
241,19157,"10:00 - 11:50 AM, TR",DRA,042A,DRA 042A,H GYM 185,001,Beginning Ballet,"Carroll, S",2.0
242,19159,"12:10 - 2:00 PM, TR",DRA,042B,DRA 042B,H GYM 185,001,Intermediate Ballet,"Carroll, S",2.0
243,44880,TBA,DRA,255,DRA 255,TBA,001,Composition in the Arts,4.0,
244,19650,"4:40 - 6:00 PM, TR",EAS,088,EAS 088,CHEM 179,A01,Korean Culture & Society,"Kim, K",4.0
245,20986,"10:00 - 11:50 AM, MW",ECL,200BN,ECL 200BN,SOCSCI 90,A01,Principles of Ecology,"Holyoak, M",5.0
246,45577,"3:10 - 5:00 PM, W",ECL,212B,ECL 212B,HART 1130,001,Environ Policy Evaluatn,"Moore, F",4.0
247,45239,"10:30 - 11:50 AM, TR",ECL,231,ECL 231,GIEDT 1006,001,Math Method Pop Biol,"Schreiber, S",3.0
248,20991,"3:40 - 5:00 PM, MW",ECL,243,ECL 243,STORER 2342,001,Ecological Genomics,"Ross-Ibarra,Whitehead",4.0
249,21071,"4:10 - 5:30 PM, R",ECL,296,ECL 296,HARING 2205,001,Topics in Ecol & Evol,"Ross-Ibarra, J",1.0
250,21151,"9:00 - 10:20 AM, TR",ECN,001A,ECN 001A,ROCK 194,A01,Princ Of Microecon,"Carrell, S",4.0
251,44814,"9:00 - 9:50 AM, MWF",ECN,151A,ECN 151A,GIEDT 1002,A01,Econ Of Labor Mkt,"Stearns, J",4.0
252,21411,"6:10 - 7:00 PM, T",ECN,151B,ECN 151B,WELLMN 201,A01,Human Resources,"Page, M",4.0
253,21568,"9:00 - 10:50 AM, MW",ECN,200E,ECN 200E,YOUNG 192,001,Macro Theory,"Cloyne, J",4.0
254,44820,"9:00 - 10:20 AM, TR",ECN,203B,ECN 203B,OLSON 109,001,Game Theory,"Schipper, B",4.0
255,44821,"1:40 - 3:00 PM, TR",ECN,221B,ECN 221B,HART 1106,001,Industrial Organization,"Rapson, D",4.0
256,44822,"12:00 - 12:30 PM, TR",ECN,230B,ECN 230B,SOCSCI 1131,001,Public Economics,"Singhal, M",4.0
257,21578,"12:10 - 4:00 PM, F",ECN,260CN,ECN 260CN,CHSL 109,001,International Investment,"Russ, K",4.0
258,21579,"10:30 - 12:30 PM, TR",ECN,260D,ECN 260D,SOCSCI 1133,001,Topics Internatl Macro,"Simonovska, I",4.0
259,22181,TBA,EDU,081,EDU 081,TBA,001,Learning in Sci & Math,"Latimer, K",2.0
260,22199,"2:10 - 4:00 PM, MW",EDU,110,EDU 110,OLSON 250,001,Ed Psych: Gen,"Sullivan, L",4.0
261,22203,"10:00 - 11:50 AM, MW",EDU,119,EDU 119,TEMCL3 RM03,001,Use/Misuse Standard Test,"Welsh, M",4.0
262,22214,TBA,EDU,181,EDU 181,TBA,001,Teaching in Sci & Math,"Guly, I",2.0
263,22215,TBA,EDU,183,EDU 183,TBA,001,Teaching HS Math & Sci,"Pinter, S",3.0
264,22244,"1:10 - 3:00 PM, M",EDU,204A,EDU 204A,HUTCH 93,001,Correlation & Regression,"Rose, H",4.0
265,22258,"1:10 - 4:00 PM, W",EDU,238,EDU 238,ACADSR 2363,001,Participatory Action Res,"Ballard, H",4.0
266,44211,"1:10 - 4:00 PM, T",EDU,244,EDU 244,ACADSR 2362,001,Seminar Lang/Lit/Culture,"Martinez, D",4.0
267,23189,"9:00 - 10:20 AM, TR",ENG,006,ENG 006,GIEDT 1001,A01,Engineering Prob Solving,"Yankelevich, D",4.0
268,23205,"9:00 - 10:20 AM, TR",ENG,035,ENG 035,GIEDT 1003,A01,Statics,"Rashid, M",4.0
269,23211,"11:00 - 11:50 AM, MWF",ENG,045,ENG 045,GIEDT 1003,A01,Properties of Materials,"Gentry, S",4.0
270,23242,"2:10 - 5:00 PM, M",ENG,104L,ENG 104L,BAINER 1223,001,Mech Of Material Lab,"Bolander, J",1.0
271,19580,"11:30 - 11:50 AM, MW",EAE,129,EAE 129,WELLMN 6,001,Stab & Cont Aerosp Veh,"Kong, Z",4.0
272,19586,"12:10 - 2:00 PM, MW",EAE,143A,EAE 143A,WELLMN 230,001,Space Vehicle Design,"Robinson, S",4.0
273,19666,"2:10 - 5:00 PM, W",EBS,075,EBS 075,BAINER 1326,A01,Prop Mat Biol Sys,"Zicari, T",4.0
274,19788,"3:10 - 5:00 PM, T",EBS,170B,EBS 170B,HOAGLD 108,001,Engr Projects: Design,"Zhang, R",2.0
275,15172,TBA,BIM,088V,BIM 088V,TBA,001,Intro to Research,"Louie, A",2.0
276,44679,"3:10 - 5:00 PM, TF",BIM,258,BIM 258,VEIMYR 116,001,Adv Biophotonics,"Zawadzki, R",4.0
277,44678,"10:00 - 11:50 AM, MW",BIM,283,BIM 283,OLSON 147,001,Adv Design of Experiment,"Rocke, D",4.0
278,15251,"3:10 - 5:00 PM, MF",BIM,284,BIM 284,OLSON 151,001,Math Methods for BME,"Duan, Y",4.0
279,45000,"8:00 - 9:50 AM, T",ECH,001Y,ECH 001Y,EVERSN 126,A01,Design of Coffee,"Kuhl,Ristenpart",3.0
280,20127,"9:00 - 9:50 AM, F",ECH,148B,ECH 148B,CHEM 179,001,Chemical Kinetics,"Shah, P",4.0
281,20128,"2:10 - 3:00 PM, F",ECH,152B,ECH 152B,GIEDT 1003,001,ECH Thermodynamics,"Kulkarni, A",4.0
282,20144,"11:00 - 12:50 PM, MW",ECH,158B,ECH 158B,TLC 1010,001,Separations & Unit Ops,"Palazoglu, A",4.0
283,20146,"9:00 - 10:20 AM, TR",ECH,161B,ECH 161B,SOCSCI 80,001,Bioseparations,"White, J",4.0
284,20147,"1:10 - 2:00 PM, MWF",ECH,161C,ECH 161C,BAINER 1060,001,Biotech Facility Design,"Mcdonald,Nandi",4.0
285,20231,"10:00 - 11:50 AM, TR",ECH,253C,ECH 253C,TBA,001,Advanced Mass Transfer,"El Farra, N",4.0
286,20233,"2:10 - 3:00 PM, MWF",ECH,267,ECH 267,BAINER 1134,001,Adv Proc Control,"Ellis, M",3.0
287,45185,"2:10 - 4:00 PM, MW",ECI,140B,ECI 140B,RESSLR 55,001,Chem Princip for Env Eng,"Young, T",4.0
288,20516,"12:10 - 2:00 PM, MW",ECI,140C,ECI 140C,HOAGLD 113,001,Bio Princip Envir Engi,"Hammond, C",4.0
289,44690,"4:10 - 7:00 PM, T",ECI,141L,ECI 141L,BAINER 1205,001,Hydraulics Lab,"Bombardelli, F",1.0
290,20523,"8:00 - 10:50 AM, T",ECI,171L,ECI 171L,BAINER 1223,001,Soil Mechanics Lab,"Ziotopoulou, A",1.0
291,20638,"3:10 - 6:00 PM, F",ECI,193A,ECI 193A,GHAUSI 1007,A01,Civil/Env Senior Design,"Bronner,The Staff",4.0
292,20747,"4:10 - 6:00 PM, MW",ECI,212A,ECI 212A,HART 1116,001,Finite Element Proc,"Sukumar, N",4.0
293,44698,"12:10 - 3:00 PM, W",ECI,235,ECI 235,BAINER 1205,001,Cement Composites,"Miller, S",4.0
294,44733,"8:00 - 9:50 AM, TR",ECI,242,ECI 242,GHAUSI 1007,001,Air Quality,The Staff,4.0
295,20752,"10:00 - 11:50 AM, MW",ECI,243B,ECI 243B,GHAUSI 1007,001,Water & Waste Treatment,"Loge, F",4.0
296,44699,"12:10 - 2:00 PM, MW",ECI,244A,ECI 244A,TLC 1218,001,Life Cycle Assessment,"Kendall, A",4.0
297,20754,"3:40 - 4:00 PM, TR",ECI,245A,ECI 245A,WELLMN 26,001,Appl Env Chem: Inorganic,"Pena, J",4.0
298,20756,"4:10 - 6:00 PM, MW",ECI,251,ECI 251,OLSON 217,001,Transp Demand Analysis,"Jaller Martelo, M",4.0
299,45723,"6:10 - 8:00 PM, MW",ECI,277A,ECI 277A,TBA,001,Comp River Mech I,"Younis, B",4.0
300,20761,"9:00 - 10:50 AM, MW",ECI,280A,ECI 280A,ART 210,001,Finite Elem Elast Plast,"Jeremic, B",4.0
301,44695,"1:10 - 4:00 PM, F",ECI,281B,ECI 281B,BAINER,001,Advanced Soil Mechanics,"Dejong, T",5.0
302,20762,"4:10 - 6:00 PM, TR",ECI,286,ECI 286,SOCSCI 70,001,Adv Foundation Design,"Martinez Vela, A",4.0
303,44701,"3:10 - 4:00 PM, T",ECI,292B,ECI 292B,OLSON 117,001,Geotech Prof Practice 2,"Boulanger, R",1.0
304,21714,"12:10 - 1:00 PM, T",ECS,032A,ECS 032A,WELLMN 234,A01,Intro to Programming,"Stevens, K",4.0
305,21722,"10:00 - 10:50 AM, M",ECS,032B,ECS 032B,OLSON 217,A01,Intro to Data Structures,"Eiselt, K",4.0
306,21729,"5:10 - 6:00 PM, M",ECS,036A,ECS 036A,WELLMN 2,A01,Programming,"Butner, M",4.0
307,21733,"12:10 - 1:00 PM, MWF",ECS,036B,ECS 036B,HARING 2205,A01,Object-Oriented Program,"Gygi, F",4.0
308,21737,"12:10 - 1:00 PM, MWF",ECS,036C,ECS 036C,KLEIBR 3,A01,Data Structures,"Kaloti, A",4.0
309,21854,"9:00 - 10:20 AM, TR",ECS,122A,ECS 122A,HUNT 100,A01,Algorithm Design & Anyls,"Jiang, J",4.0
310,21858,"12:10 - 1:00 PM, M",ECS,122B,ECS 122B,OLSON 158,A01,Algorithm Design & Anlys,"Frid, Y",4.0
311,21868,"8:00 - 8:50 AM, W",ECS,152A,ECS 152A,HART 1130,A01,Computer Networks,"Cheung, S",4.0
312,21873,"1:10 - 2:00 PM, MWF",ECS,154A,ECS 154A,HUNT 100,A01,Computer Architecture,"Butner, M",4.0
313,21877,"10:00 - 10:50 AM, MWF",ECS,154B,ECS 154B,EVERSN 176,001,Computer Architecture,"Lowe-Power, J",4.0
314,21881,"2:10 - 3:00 PM, T",ECS,165A,ECS 165A,HOAGLD 113,A01,Database Systems,"Sadoghi Hamedani, M",4.0
315,21885,"1:10 - 2:00 PM, M",ECS,188,ECS 188,KERR 293,001,Ethics in an Age of Tech,"Matloff, N",4.0
316,22010,"10:00 - 10:50 AM, MWF",ECS,201A,ECS 201A,EVERSN 176,001,Computer Architecture,"Lowe-Power, J",4.0
317,22011,TBA,ECS,235B,ECS 235B,TBA,001,Computer & Info Security,"Bishop, M",4.0
318,22442,"8:00 - 8:50 AM, F",EEC,105B,EEC 105B,KEMPER 1065,001,EE-Emerge 2,"Knoesen, A",2.0
319,45072,"6:10 - 7:30 PM, TR",EEC,132B,EEC 132B,KEMPER,001,RF & Microwaves,"Branner, G",5.0
320,22455,"9:00 - 9:50 AM, F",EEC,136B,EEC 136B,BAINER 1060,A01,Electronic Design Proj,"Amirtharajah, R",3.0
321,22460,"3:10 - 4:50 PM, MW",EEC,157A,EEC 157A,REMOTE,001,Control Systems,"Gundes, A",4.0
322,22466,"8:00 - 8:50 AM, W",EEC,173A,EEC 173A,HART 1130,A01,Computer Networks,"Cheung, S",4.0
323,45555,TBA,EEC,174BY,EEC 174BY,ONLINE,001,Applied ML Projects,"Chuah, C",3.0
324,45063,"4:10 - 6:00 PM, TR",EEC,181A,EEC 181A,KEMPER,A01,Dig Sys Design Project,"Baas, B",3.0
325,22606,"11:30 - 11:50 AM, M",EEC,193B,EEC 193B,KEMPER 2110,010,Senior Design Project,"Chuah, C",3.0
326,45064,"10:00 - 12:50 PM, F",EEC,195A,EEC 195A,KEMPER,A01,Autonomous Car Project,The Staff,3.0
327,45067,"8:00 - 9:20 AM, TR",EEC,231B,EEC 231B,REMOTE,001,Plasma Physics,"Luhmann, N",4.0
328,45068,"10:30 - 11:50 AM, TR",EEC,237B,EEC 237B,BAINER 1070,001,Laser Physics II,"Kolner, B",4.0
329,45069,"1:10 - 2:30 PM, MW",EEC,239B,EEC 239B,TBA,001,Optical Data Sys & Net,"Yoo, S",4.0
330,45070,"3:10 - 5:00 PM, TR",EEC,241,EEC 241,TBA,001,Molecular Electronics,"Hihath, J",4.0
331,22704,"1:10 - 2:30 PM, TR",EEC,248,EEC 248,KERR 293,001,PV & Solar Cells,"Hunt, C",3.0
332,22709,"9:00 - 10:20 AM, TR",EEC,281,EEC 281,REMOTE,001,VLSI Digital Signal Proc,"Baas, B",4.0
333,23009,"1:10 - 4:00 PM, W",EMS,162L,EMS 162L,KEMPER 163,A01,Struct Charac Matls Lab,"Mccormack, S",3.0
334,23015,"5:10 - 6:00 PM, W",EMS,188A,EMS 188A,REMOTE,001,Materials Design Project,"Risbud, S",4.0
335,45244,"1:10 - 2:30 PM, TR",EMS,246,EMS 246,KERR 293,001,PV & Solar Cells,"Hunt, C",3.0
336,23071,"2:10 - 4:00 PM, TR",EMS,268,EMS 268,BAINER 1062,001,Adv Mat Characterization,"Castro, R",4.0
337,23072,"10:00 - 11:50 AM, WF",EMS,272,EMS 272,BAINER 1070,001,Adv Func Prop of Matls,"Takamura, Y",4.0
338,23073,"9:00 - 10:20 AM, TR",EMS,274,EMS 274,OLSON 141,001,Adv Mech Prop Mats,"Mason, J",4.0
339,22876,"2:10 - 3:30 PM, T",EME,109,EME 109,BAWIND 1402,A01,Experimental Methods,"Vang, C",4.0
340,22886,"9:30 - 9:50 AM, TR",EME,150B,EME 150B,HARING 1227,001,Mechanical Design,"Akbari, A",4.0
341,22893,"3:40 - 5:00 PM, TR",EME,185A,EME 185A,TBA,A01,Mech Syst Design Project,"Schofield, J",4.0
342,44222,"10:00 - 11:20 AM, MW",MAE,207,MAE 207,BAINER 1062,001,Eng Exp & Uncertainty,"Shaw, B",4.0
343,30409,"10:00 - 11:20 AM, TR",MAE,218,MAE 218,GIEDT 1007,001,Advanced Energy Systems,"Kissock, J",4.0
344,44223,"12:10 - 2:00 PM, MW",MAE,226,MAE 226,BAINER 1062,001,Acoustic & Noise Control,"Sarigul-Klijn, N",4.0
345,23297,"2:10 - 3:00 PM, MW",ENL,003A,ENL 003A,WELLMN 107,001,Writers' Workshop,"Cheramie, H",2.0
346,23303,"8:00 - 9:50 AM, MW",ENL,005F,ENL 005F,WELLMN 129,001,Writing: Fiction,"Peterson, K",4.0
347,23310,"5:10 - 7:00 PM, MW",ENL,005NF,ENL 005NF,OLSON 141,001,Writing: Non-Fiction,"Peterson, K",4.0
348,23312,"10:00 - 11:50 AM, MW",ENL,005P,ENL 005P,WELLMN 235,001,Writing: Poetry,"Peterson, K",4.0
349,23315,"6:10 - 7:00 PM, R",ENL,010A,ENL 010A,WELLMN 101,A01,Lit in English I,"Dolan, F",4.0
350,23319,"11:00 - 11:50 AM, F",ENL,010B,ENL 010B,OLSON 151,A01,Lit in English II,"Ziser, M",4.0
351,23445,"6:10 - 7:00 PM, W",ENL,113A,ENL 113A,OLSON 244,A01,Chaucer: Troilus & Poems,"Chaganti, S",4.0
352,23457,"4:40 - 6:00 PM, TR",ENL,137,ENL 137,OLSON 118,001,British Lit 1900-1945,"Dobbins, G",4.0
353,44409,"1:10 - 2:00 PM, MWF",ENL,149,ENL 149,HART 1120,001,Topics in Literature,"Frederickson, K",4.0
354,44410,"6:10 - 7:00 PM, R",ENL,150A,ENL 150A,WELLMN 107,A01,British Drama to 1800,"Bloom, G",4.0
355,44412,"10:30 - 11:50 AM, TR",ENL,155C,ENL 155C,HUTCH 115,001,20th Cen British Novel,"Solomon, J",4.0
356,44414,"6:10 - 7:00 PM, M",ENL,185B,ENL 185B,HART 1116,A01,Lit by Women 1800-1900,"Miller, E",4.0
357,23474,"3:10 - 6:00 PM, T",ENL,187A,ENL 187A,VRHIES 248,001,Literature & Media,"Boluk, S",4.0
358,23675,"12:10 - 3:00 PM, R",ENL,287,ENL 287,VRHIES 120,001,Literature & Media,"Boluk, S",4.0
359,23676,"1:10 - 3:00 PM, M",ENL,288,ENL 288,VRHIES 120,001,Prospectus Workshop,"Ziser, M",4.0
360,24138,TBA,ENT,295,ENT 295,TBA,001,Agricultural Ent & Bees,The Staff,2.0
361,24139,"4:10 - 5:00 PM, W",ENT,297N,ENT 297N,BRIGGS 122,001,Seminar in Entomology,"Siddique, S",1.0
362,45365,"12:10 - 3:00 PM, W",EVH,200,EVH 200,VRHIES 120,001,Environmental Humanities,"Miller,Warren",4.0
363,24430,"10:30 - 11:50 AM, TR",ESP,168B,ESP 168B,YOUNG 184,A01,Environ Policy Eval,"Sanchirico, J",4.0
364,24446,TBA,ESP,191A,ESP 191A,TBA,001,Sustainability Workshop,"Tomich, T",3.0
365,24570,"1:10 - 2:00 PM, MWF",ETX,102A,ETX 102A,WELLMN 226,A01,Env Fate of Toxicants,"Nguyen, T",4.0
366,24572,"10:00 - 10:50 AM, W",ETX,103A,ETX 103A,HART 1128,A01,Bio Effects of Toxicants,"Nicklisch, S",4.0
367,24773,"4:10 - 5:30 PM, MW",ETX,278,ETX 278,OLSON 147,001,Molecular Techniques,"Parker, G",3.0
368,24221,TBA,EPI,206,EPI 206,TBA,001,Epi Study Design,"Atwill,Conlon",4.0
369,45210,"1:10 - 4:00 PM, MW",EVE,112L,EVE 112L,SCILAB 1079,001,Biol Invertebrates Lab,"Sanford, E",2.0
370,25452,TBA,EXB,106L,EXB 106L,TBA,001,Human Gross Anatomy Lab,"Gross, D",3.0
371,44219,"10:00 - 12:50 PM, R",FMS,127,FMS 127,CRUESS 1003,001,Film Theory,"Fallon, K",4.0
372,26062,"6:10 - 7:00 PM, W",FST,100C,FST 100C,WELLMN 235,001,Food Physical Chemistry,"Dungan, S",4.0
373,26063,"9:00 - 11:50 AM, T",FST,101B,FST 101B,RMISEN,A01,Food Properties Lab,"Slupsky, C",2.0
374,26193,"10:30 - 11:50 AM, TR",FST,228,FST 228,SOCSCI 80,001,Sustainable Food Systems,"Simmons,Spang",3.0
375,25611,"6:10 - 9:00 PM, M",FOR,201B,FOR 201B,OFFCAM,001,Forensic Science-B,The Staff,3.0
376,25612,"6:10 - 9:00 PM, W",FOR,208,FOR 208,OFFCAM,001,Forensic Toxicology,"Triebold, C",3.0
377,25615,"6:10 - 9:00 PM, T",FOR,276,FOR 276,OFFCAM,001,Population Genetics,"Rodzen, J",3.0
378,25854,TBA,FRE,390B,FRE 390B,TBA,001,Teaching French,"Simon, J",2.0
379,26909,"9:00 - 1:00 PM, F",GEO,200DN,GEO 200DN,HUNT 166,001,Socio-Spatial Anal-Geog,4.0,
380,26433,"1:40 - 3:00 PM, TR",GEL,028,GEL 028,EPHSCI 1316,001,Astrobiology,"Yin, Q",3.0
381,26434,"3:10 - 4:00 PM, T",GEL,036,GEL 036,EPHSCI 1316,A01,Solar System,"Stewart-Mukhopadhyay, S",4.0
382,26439,"4:10 - 7:00 PM, TR",GEL,050L,GEL 050L,EPHSCI 1348,001,Physical Geology Lab,"Pinter, N",2.0
383,26442,TBA,GEL,053,GEL 053,TBA,001,Intro to Geobiology,"Sumner, D",3.0
384,26548,TBA,GEL,101L,GEL 101L,TBA,001,Structural Geology Lab,"Oskin, M",2.0
385,26551,"5:10 - 8:00 PM, MW",GEL,107L,GEL 107L,EPHSCI 1309,001,Paleobiology Lab,"Gold, D",2.0
386,44269,"10:30 - 11:50 AM, TR",GER,048,GER 048,WELLMN 212,001,Germanic Myth & Saga,"Harjes, K",4.0
387,26356,"5:10 - 6:00 PM, T",GDB,090,GDB 090,HUTCH 357,001,Intro Global Disease Bio,"Rizzo, D",1.0
388,27388,"12:10 - 1:00 PM, R",GRK,002NT,GRK 002NT,OLSON 167,001,Elem Nt Greek,"Seal, C",1.0
389,33208,TBA,MHI,289E,MHI 289E,TBA,001,Clinical Knowledge,"Shankar, P",3.0
390,33209,TBA,MHI,289F,MHI 289F,TBA,001,Database Management,"Anderson, N",4.0
391,27727,"9:00 - 9:50 AM, R",HIS,007B,HIS 007B,WRIGHT 220,A01,Latin America 1700-1900,"Perez Melendez, J",4.0
392,27736,"11:00 - 11:50 AM, R",HIS,009C,HIS 009C,WELLMN 3,A01,Korean Culture & Society,"Kim, K",4.0
393,27740,"12:10 - 1:00 PM, T",HIS,010C,HIS 010C,SOCSCI 70,A01,19th-20th Century World,"El Shakry, O",4.0
394,27780,"11:00 - 11:50 AM, M",HIS,017A,HIS 017A,WELLMN 3,A01,History Of The U S,"Downs, G",4.0
395,27793,"11:00 - 11:50 AM, MWF",HIS,017B,HIS 017B,GIEDT 1001,A01,History Of The U S,"Rauchway, E",4.0
