id,crn,date,subj,sub_num,course,location,section,description,instructor,credit
396,44612,"12:10 - 1:00 PM, T",HIS,018B,HIS 018B,OLSON 144,A01,Race in US Since 1865,"Leroy, J",4.0
397,27812,"10:00 - 10:50 AM, MWF",HIS,072A,HIS 072A,HUNT 100,A01,Women & Gender Amer-1865,"Gettelman, K",4.0
398,27908,"9:00 - 11:50 AM, W",HIS,102D,HIS 102D,SOCSCI 4202,001,Mod Europe To 1815,"Stirling-Harris, A",5.0
399,27909,"9:00 - 11:50 AM, M",HIS,102E,HIS 102E,SOCSCI 4202,001,Europe Since 1815,"Zientek, A",5.0
400,44622,"9:00 - 11:50 AM, R",HIS,102M,HIS 102M,SOCSCI 4202,001,U S Since 1896,"Materson, L",5.0
401,44623,"12:10 - 3:00 PM, T",HIS,102X,HIS 102X,SOCSCI 4202,001,Comparative History,"Kim, K",5.0
402,44634,"2:10 - 3:00 PM, MWF",HIS,131B,HIS 131B,OLSON 147,001,Renaissance/Reformation,"Stirling-Harris, A",4.0
403,44636,"12:10 - 1:30 PM, TR",HIS,142A,HIS 142A,SOCSCI 1100,001,History of the Holocaust,"Biale, D",4.0
404,44639,"10:00 - 10:50 AM, MWF",HIS,166B,HIS 166B,WELLMN 230,001,Mex Hist Since 1848,"Resendez, A",4.0
405,44640,"1:40 - 3:00 PM, TR",HIS,169B,HIS 169B,WELLMN 119,001,Mex-Amer History,"Oropeza, L",4.0
406,28014,"1:10 - 2:00 PM, MWF",HIS,170A,HIS 170A,WELLMN 1,001,Colonial America,"Smolenski, J",4.0
407,44641,"10:30 - 11:50 AM, TR",HIS,177B,HIS 177B,WALKER 1310,001,Black Hist In Amer,"Leroy, J",4.0
408,28194,"3:10 - 6:00 PM, T",HIS,201I,HIS 201I,SOCSCI 4202,001,Latin Am Since 1810,"Walker, C",4.0
409,28195,"3:10 - 6:00 PM, W",HIS,201J,HIS 201J,SOCSCI 4202,001,Amr Hist To 1787,"Smolenski, J",4.0
410,28196,"3:10 - 6:00 PM, R",HIS,201M,HIS 201M,SOCSCI 2202,001,Middle East,"Tezcan, B",4.0
411,28200,"3:10 - 6:00 PM, M",HIS,202H,HIS 202H,SOCSCI 4202,001,United States,"St John, R",4.0
412,27574,"9:00 - 1:00 PM, M",HDE,220,HDE 220,REMOTE,001,Meth Growth & Devel,"Hernandez, M",4.0
413,45188,"4:10 - 7:00 PM, W",HDE,234,HDE 234,OLSON 109,001,Child Learn & Thinking,"Chen, Z",3.0
414,29760,TBA,IMM,202L,IMM 202L,TBA,001,Adv Imm Lab Rotations,"Soulika, A",5.0
415,29444,"2:10 - 5:00 PM, R",IAD,203N,IAD 203N,BAINER 1060,001,Project Plan & Eval,"Crump, A",4.0
416,29847,"11:00 - 11:50 AM, MTWRF",ITA,031,ITA 031,HUNT 110,001,Beg Italian for Spn Spkr,"Ardeni, V",5.0
417,44455,"1:40 - 3:00 PM, TR",ITA,115D,ITA 115D,OLSON 167,001,Italian Lyric 16 C,"Delmolino, G",4.0
418,45421,"10:00 - 11:50 AM, TR",JPN,159,JPN 159,WICKSN 1020,001,"""Other"" in Mod Jpn Lit","Mcdonald, T",4.0
419,30047,"9:00 - 11:50 AM, T",LDA,070,LDA 070,HUNT 178,A01,Intro to Spacemaking,"Parker, C",4.0
420,44717,"10:00 - 10:50 AM, MWF",LIN,103B,LIN 103B,WELLMN 126,A01,Linguistic Analysis II,The Staff,4.0
421,33046,"9:00 - 9:50 AM, F",MGT,011A,MGT 011A,STORER 1344,A01,Elementary Accounting,"Thomas, D",4.0
422,45647,"8:00 - 9:20 AM, MW",MGT,011B,MGT 011B,HUNT 100,C01,Elementary Accounting,"Zern, C",4.0
423,45513,TBA,MGT,215,MGT 215,TBA,001,Business Law,"Harrington, E",3.0
424,33107,TBA,MGT,224,MGT 224,TBA,001,Man People in Hi Per Org,"Hsu, G",3.0
425,45487,TBA,MGT,265,MGT 265,TBA,001,Tech Finance & Valuation,"Yasuda, A",3.0
426,45490,TBA,MGT,402A,MGT 402A,TBA,001,Markets & the Firm,"Saraniti, B",4.0
427,45491,TBA,MGT,404,MGT 404,TBA,001,Marketing Management,"Findlay, D",4.0
428,45492,TBA,MGT,406A,MGT 406A,TBA,001,Dec Ana: Spdsht Based,"Woodruff, D",2.0
429,33153,TBA,MGT,407,MGT 407,TBA,001,Storytelling for Leaders,"Charnsupharindr, D",1.0
430,33154,"TBA, U",MGT,412,MGT 412,TBA,001,International Marketing,"Peters, K",1.0
431,33155,TBA,MGT,429,MGT 429,TBA,001,Detection & Prevention,"Briscoe, N",1.0
432,33156,TBA,MGT,436,MGT 436,TBA,001,Intro to Derv Sec,"Maruster, S",1.0
433,45493,TBA,MGT,468,MGT 468,TBA,001,Artic & Critic Thinking,"Kennedy, J",4.0
434,33157,TBA,MGT,490,MGT 490,TBA,001,Topics in Business,"Saraniti, B",1.0
435,33158,TBA,MGT,490B,MGT 490B,TBA,001,Topics in Gen Mgmt-Ext,"Lew, G",2.0
436,33166,TBA,MGV,200BV,MGV 200BV,TBA,001,Managerial Accounting,"Yetman, R",4.0
437,33167,"TBA, T",MGV,201AV,MGV 201AV,ONLINE,001,Indiv & Grp Dynamics,"Elsbach, K",4.0
438,33172,TBA,MGV,201BV,MGV 201BV,TBA,001,Org Strategy & Structure,"Dokko, G",4.0
439,33175,"TBA, R",MGV,202AV,MGV 202AV,ONLINE,001,Markets & The Firm,"Stango, V",4.0
440,33180,TBA,MGV,203BV,MGV 203BV,TBA,001,Forecast & Manag Rsch Md,"Rangwala, M",4.0
441,33181,TBA,MGV,204V,MGV 204V,TBA,001,Marketing Management,"Aravindakshan, A",4.0
442,33183,TBA,MGV,205V,MGV 205V,TBA,001,Fin Theory & Policy,"Maruster, S",4.0
443,45446,TBA,MGV,206V,MGV 206V,TBA,001,Decision Analytics,"Woodruff, D",4.0
444,45437,TBA,MGV,224V,MGV 224V,TBA,001,Mng Pple Hi-Prfmnce Org,"Hsu, G",4.0
445,45433,TBA,MGV,239V,MGV 239V,TBA,001,Digital Marketing,"Peters, K",4.0
446,33185,"TBA, R",MGV,246V,MGV 246V,ONLINE,001,Negotiations in Orgs,"O'Rourke-Powell, E",4.0
447,45435,TBA,MGV,251V,MGV 251V,TBA,001,Mgt of innovation,"Hargadon, A",4.0
448,33186,TBA,MGV,252V,MGV 252V,TBA,001,Managing Ops,"Chen, R",4.0
449,45440,TBA,MGV,254V,MGV 254V,TBA,001,Marketing Analytics,"Palazzolo, M",4.0
450,45441,TBA,MGV,260V,MGV 260V,TBA,001,Corporate Finance,"Marquez, R",4.0
451,45442,TBA,MGV,261V,MGV 261V,TBA,001,Investment Analysis,"Chen, J",4.0
452,45443,TBA,MGV,264V,MGV 264V,TBA,001,Business Taxation,"Yetman, R",4.0
453,45444,TBA,MGV,265V,MGV 265V,TBA,001,Tech Finance & Valuation,"Yasuda, A",4.0
454,33188,TBA,MGV,268V,MGV 268V,TBA,001,Artic & Critic Thinking,"Kennedy, B",4.0
455,33191,"TBA, T",MGV,400AV,MGV 400AV,ONLINE,001,Financial Accounting,"Yetman, M",4.0
456,33195,"TBA, W",MGV,403AV,MGV 403AV,ONLINE,001,Data Analy for Managers,"Whiteman, H",4.0
457,33198,"TBA, T",MGV,438V,MGV 438V,ONLINE,001,Quant Tool for Bus,"Aram, C",4.0
458,33202,TBA,MGV,440V,MGV 440V,TBA,001,Intgd Management Project,"Cron, W",4.0
459,45447,TBA,MGV,445V,MGV 445V,TBA,001,Product Management,"Virrey, J",4.0
460,45449,TBA,MGV,469V,MGV 469V,TBA,001,Mach Learning with Pythn,"Yang, Y",4.0
461,45450,TBA,MGV,475V,MGV 475V,TBA,001,R & SQL for Bus Analytic,"Rangwala, M",4.0
462,45451,TBA,MGV,490A,MGV 490A,TBA,001,Topics in Mgmt,"Bhargava, H",2.0
463,45500,TBA,MGB,400AY,MGB 400AY,TBA,001,Financial Accounting,"Virrey, J",4.0
464,45501,TBA,MGB,402AY,MGB 402AY,TBA,001,Markets & the Firm,"Saraniti, B",4.0
465,33010,TBA,MGB,440,MGB 440,TBA,001,Intgd Management Project,"Wilson, K",6.0
466,45502,TBA,MGB,440S,MGB 440S,TBA,001,Inter Mgmt Sim,"Beckler, A",4.0
467,45538,TBA,MGB,490V,MGB 490V,TBA,001,Topics in Gen Mgmt,"Wunderman, J",3.0
468,45612,TBA,MGP,490BV,MGP 490BV,TBA,001,Topics in Management,"Flatt, S",2.0
469,32628,"6:10 - 8:00 PM, W",MCN,264A,MCN 264A,WELLMN 103,001,Principles Adult Edu Sem,"Heinig, M",2.0
470,32629,"8:10 - 9:00 PM, W",MCN,264B,MCN 264B,WELLMN 103,001,Mat Child Epidemiology,"Heinig, M",2.0
471,30603,"10:00 - 10:50 AM, MWF",MAT,000D,MAT 000D,DUTTON 3216,001,Intermed Algebra,"Davis, C",0.0
472,30605,"6:10 - 7:00 PM, MWF",MAT,016A,MAT 016A,GIEDT 1001,001,Short Calculus,"Varn, D",3.0
473,30608,"10:00 - 10:50 AM, MWF",MAT,016B,MAT 016B,HARING 2205,001,Short Calculus,"Lee, Y",3.0
474,30611,"9:00 - 9:50 AM, MWF",MAT,016C,MAT 016C,WELLMN 2,001,Short Calculus,"Temirgaliyeva, Z",3.0
475,30648,"11:00 - 11:50 AM, MWF",MAT,017C,MAT 017C,KLEIBR 3,A01,Calculus for BioSci,"Dad-Del, A",4.0
476,30660,"5:40 - 6:30 PM, MWF",MAT,021B,MAT 021B,OLSON 147,001,Calculus,"Alameda, A",4.0
477,30694,"7:10 - 8:00 PM, R",MAT,021C,MAT 021C,H GYM 290,A01,Calculus,"Biello, J",4.0
478,30708,"7:10 - 8:00 PM, R",MAT,021D,MAT 021D,HOAGLD 108,B01,Vector Analysis,"Waldron, A",4.0
479,30717,"2:10 - 3:00 PM, MWF",MAT,022A,MAT 022A,TLC 1020,001,Linear Algebra,"Vazirani, M",3.0
480,30719,"1:10 - 2:00 PM, R",MAT,022AL,MAT 022AL,MATSCI 2118,001,Linear Algebra Comp Lab,"Dad-Del, A",1.0
481,45170,"10:00 - 10:50 AM, MWF",MAT,067,MAT 067,HOAGLD 168,001,Modern Linear Algebra,"Nachtergaele, B",4.0
482,30761,"12:10 - 1:00 PM, MWF",MAT,119A,MAT 119A,WELLMN 212,001,Ordinary Diff Equations,"Lewis, T",4.0
483,30768,"9:00 - 9:50 AM, MWF",MAT,127B,MAT 127B,OLSON 158,A01,Real Analysis,"Xia, Q",4.0
484,30772,"11:00 - 11:50 AM, MWF",MAT,127C,MAT 127C,WELLMN 230,A01,Real Analysis,"Islambouli, G",4.0
485,30776,"11:00 - 11:50 AM, MWF",MAT,135A,MAT 135A,HOAGLD 168,A01,Probability,"Morris, B",4.0
486,45177,"9:00 - 9:50 AM, MWF",MAT,148,MAT 148,WALKER 1320,001,Discrete Mathematics,"Martin, D",4.0
487,30791,"4:10 - 5:00 PM, MWF",MAT,168,MAT 168,WALKER 1320,001,Optimization,"Freund, R",4.0
488,30871,"1:10 - 2:00 PM, MWF",MAT,205A,MAT 205A,BAINER 1134,001,Complex Analysis,"Kuperberg, G",4.0
489,30872,TBA,MAT,207B,MAT 207B,TBA,001,Applied Mathematics,"Fannjiang, A",4.0
490,45179,"3:10 - 4:00 PM, MWF",MAT,226B,MAT 226B,HART 1116,001,Matrix Computations,"Teran, J",4.0
491,45182,"10:30 - 11:50 AM, TR",MAT,248B,MAT 248B,WRIGHT 220,001,Algebraic Geometry,"Mulase, M",4.0
492,33581,"10:30 - 11:50 AM, TR",MMI,200D,MMI 200D,VALLEY 1010,001,Microbial Interactions,"Baumler, A",3.0
493,44682,"12:10 - 1:30 PM, TR",MST,020A,MST 020A,PHYSIC 130,A01,Medieval Culture,"Syed, M",4.0
494,33325,"9:00 - 11:50 AM, T",MIC,103L,MIC 103L,SCILAB 2079,A01,Intro Microbiology Lab,"Mann, E",2.0
495,33343,"1:10 - 4:00 PM, TR",MIC,105L,MIC 105L,SCILAB 2090,A01,Microbial Diversity Lab,"Parales, R",3.0
496,33221,TBA,MIB,201L,MIB 201L,TBA,001,Adv Micro Lab Rotation,"Gelli, A",5.0
497,33678,"3:10 - 6:00 PM, W",MSA,182B,MSA 182B,OLSON 207,001,India/SouthAsia Seminar,"Singh, K",4.0
498,33701,"3:10 - 5:00 PM, W",MSC,014B,MSC 014B,H GYM 123,001,Intro to Mil Skills,"Yashinski, S",0.5
499,33704,"3:10 - 5:00 PM, W",MSC,024B,MSC 024B,TBA,001,Indiv Leader Skills,"Rolls, N",0.5
500,33709,"3:10 - 5:00 PM, W",MSC,144B,MSC 144B,TBA,001,Mil Training Skills,"Aquino, A",0.5
501,31206,"1:10 - 2:00 PM, MW",MCB,160L,MCB 160L,HARING 2016,001,Genetics Lab,"Ori-Mckenney, K",5.0
502,32115,"12:10 - 1:00 PM, F",MCB,259,MCB 259,OLSON 144,001,Develop Biology Lit,"Lott, S",1.0
503,32633,TBA,MCP,210L,MCP 210L,TBA,001,Physio Lab Rotations,"Dickson,Dickson",5.0
504,32634,"10:00 - 12:00 PM, F",MCP,261B,MCP 261B,TUPPER 2433,001,Topics in Vision,"Burns, M",2.0
505,33752,"9:00 - 9:50 AM, W",MUS,003B,MUS 003B,MUSIC 115,A01,Intro Music Theory 2,"Strawbridge, A",4.0
506,33754,"12:10 - 1:00 PM, MWF",MUS,006B,MUS 006B,MUSIC 115,001,Elementary Theory,"Nichols, S",3.0
507,44447,TBA,MUS,024A,MUS 024A,TBA,001,MH1: Baroque & Classic,"Polzonetti, P",4.0
508,44461,"9:00 - 9:50 AM, MW",MUS,108A,MUS 108A,MUSIC 203,001,Orchestration,"Hofman, M",2.0
509,44462,"1:10 - 2:30 PM, TR",MUS,124D,MUS 124D,MUSIC 203,001,Music History 4,"Plack, R",4.0
510,45645,"12:10 - 3:00 PM, W",MUS,210C,MUS 210C,MUSIC 230,001,Prosem Ethnomusicology,"Diaz, J",4.0
511,45196,"3:10 - 5:00 PM, M",NAS,005A,NAS 005A,HART 1106,003,Writer's Workshop,2.0,
512,34401,"9:00 - 11:50 AM, T",NPB,121L,NPB 121L,ASTF,001,Phys Reprod Lab,"Berger, T",1.0
513,45310,"10:00 - 11:50 AM, R",NPB,169,NPB 169,HART 1120,001,Frontiers in Neurobiol,"Tripp, B",3.0
514,34554,TBA,NPB,271B,NPB 271B,TBA,001,Memory & Plasticity II,"Wiltgen, B",2.0
515,34555,"TBA, W",NPB,285,NPB 285,TBA,001,Lit Vis Neuroscience,"Britten, K",2.0
516,34556,"9:00 - 10:50 AM, R",NPB,287B,NPB 287B,H GYM 290,001,Topics Neurosci Theory,"Goldman, M",2.0
517,45317,TBA,NRS,243A,NRS 243A,TBA,001,Leadership,"Singh, C",2.0
518,44388,TBA,NRS,302,NRS 302,TBA,001,Emerging Technologies,"Nichols, A",4.0
519,34681,TBA,NRS,307,NRS 307,TBA,001,Family Centered Comm,"Spero, H",4.0
520,35017,TBA,NUT,111AY,NUT 111AY,TBA,001,Intro Nut & Metabolism,"Mackenzie, G",3.0
521,35023,"10:00 - 10:50 AM, MWF",NUT,116B,NUT 116B,GIEDT 1003,001,Clinical Nutrition,"Zivkovic, A",3.0
522,35024,"11:00 - 11:50 AM, F",NUT,116BL,NUT 116BL,GROVE 1309,001,Nutrition Practicum,"Chondronikola, M",3.0
523,35027,"2:10 - 4:00 PM, MW",NUT,118,NUT 118,TLC 1010,001,Community Nutrition,"Au,Prado",4.0
524,36431,"12:10 - 3:00 PM, W",PFS,265A,PFS 265A,CRUESS,001,Modes of Production,"Lemieux, P",4.0
525,45688,"1:10 - 4:00 PM, T",PFS,265D,PFS 265D,ARTANX,001,Theory/history/criticism,"Wyman, J",4.0
526,36526,TBA,PFS,459,PFS 459,TBA,001,Approach to Thtr & Dance,The Staff,4.0
527,36720,"9:00 - 10:20 AM, TR",PHI,013,PHI 013,YOUNG 198,001,"Minds, Brains, Computers","Dorsey, J",3.0
528,36721,"6:10 - 7:00 PM, M",PHI,013G,PHI 013G,HART 1120,A01,Minds Brains Comp w/Disc,"Dorsey, J",4.0
529,36741,"9:00 - 9:50 AM, MWF",PHI,038,PHI 038,WELLMN 26,A01,Intro Philosophy of Biol,"Miller, S",4.0
530,44848,"9:00 - 10:20 AM, TR",PHI,123,PHI 123,PHYSIC 140,001,Aesthetics,"Harris, T",4.0
531,44849,"3:10 - 4:30 PM, TR",PHI,189I,PHI 189I,GIEDT 1006,001,Topics Phil of Science,"Glick, D",4.0
532,37001,"7:30 - 8:50 AM, M",PHY,007A,PHY 007A,RESSLR 66,A01,General Physics,"Guthrie,Mitchell",4.0
533,37089,"7:30 - 8:50 AM, F",PHY,007C,PHY 007C,RESSLR 66,A01,General Physics,"Arrais Nobre,Mitchell",4.0
534,45153,"5:10 - 6:00 PM, W",PHY,009A,PHY 009A,BAINER 1060,A01,Classical Physics,"Nourbakhsh, E",5.0
535,37111,"10:30 - 11:50 AM, TR",PHY,009B,PHY 009B,RESSLR 66,A01,Classical Physics,"Weideman, T",5.0
536,37150,"10:30 - 11:50 AM, TR",PHY,009HB,PHY 009HB,RESSLR 166,A01,Honors Physics,"Rangamani, M",5.0
537,37212,"11:00 - 11:50 AM, MW",PHY,080,PHY 080,OLSON 101,A01,Experimental Techniques,"Jones, T",4.0
538,44653,"9:00 - 10:20 AM, TR",PHY,233,PHY 233,PHYSIC 414,001,Tpcs Geometry & Physics,"Hubeny, V",3.0
539,37641,"2:40 - 4:00 PM, TR",PHY,245B,PHY 245B,PHYSIC 414,001,High Energy Physics,"Cheng, H",3.0
540,44654,"10:30 - 11:50 AM, TR",PHY,246A,PHY 246A,PHYSIC 414,001,Supersymmetry,"Terning, J",3.0
541,37644,"2:10 - 3:30 PM, MW",PHY,252C,PHY 252C,PHYSIC 285,001,Data Analys Particle Phy,"Conway, J",3.0
542,37646,"12:10 - 1:30 PM, TR",PHY,256A,PHY 256A,PHYSIC 185,001,Physics of Information,"Crutchfield, J",4.0
543,37648,"9:00 - 10:20 AM, WF",PHY,262,PHY 262,PHYSIC 414,001,Early Universe Cosmology,"Kaloper, N",3.0
544,37829,"1:10 - 2:00 PM, T",PHY,371,PHY 371,OLSON 117,001,Tchng Activ-Enggmnt D/Ls,"Zhabinskaya, D",1.0
545,37992,"2:10 - 3:00 PM, T",PLB,112D,PLB 112D,BAINER 1134,001,Plant Growth & Devel Dis,"Harada, J",1.0
546,45369,TBA,PLS,006V,PLS 006V,REMOTE,001,Flower Power,"Lieth, J",2.0
547,38364,"11:00 - 11:50 AM, R",PLS,007V,PLS 007V,ONLINE,A01,Just Coffee,"Brown,Crump",4.0
548,38397,TBA,PLS,021V,PLS 021V,TBA,A01,Computers in Technology,"Bailey,Sellu",3.0
549,38610,"9:00 - 11:50 AM, R",PLS,100BL,PLS 100BL,BOWLEY 109,001,Plant Growth & Yield Lab,"Blanco-Ulate, B",2.0
550,38621,"10:00 - 11:50 AM, MW",PLS,163,PLS 163,HOAGLD 108,001,Ecosystem&Landscape Eco,"Cadenasso,Eviner",4.0
551,44881,"4:10 - 5:20 PM, MW",POL,012A,POL 012A,WELLMN 26,001,Politics & Sports,"Scheiner, E",4.0
552,44902,"1:10 - 2:00 PM, W",POL,144A,POL 144A,KERR 451,A01,East European Politics,"Andrews, J",4.0
553,44908,TBA,POL,165V,POL 165V,TBA,001,Mass Media & Politics,"Boydstun, A",4.0
554,44909,"12:10 - 1:30 PM, TR",POL,166,POL 166,WELLMN 26,001,Women In Politics,"Bernhard, R",4.0
555,39898,TBA,POL,290D,POL 290D,NOFAC,001,Res Jud Poli,"Shanske, D",4.0
556,44913,"3:10 - 6:00 PM, M",POL,290G,POL 290G,KERR 593,001,Research in Pol Methods,"Hosek, A",4.0
557,40051,"3:10 - 4:30 PM, TR",PSC,041,PSC 041,KLEIBR 3,001,Research Meth in Psych,"Cross, V",4.0
558,45160,"9:00 - 9:50 AM, M",PSC,100Y,PSC 100Y,HOAGLD 108,A01,Cognitive Psychology,"Antzoulatos, E",4.0
559,44916,"4:10 - 5:30 PM, TR",PUN,002V,PUN 002V,TBA,001,Elementary Punjabi,"Singh, K",5.0
560,41067,"5:10 - 6:00 PM, W",RST,001F,RST 001F,BAINER 1134,A01,Religion Today,"Miller, W",4.0
561,41071,"4:10 - 5:30 PM, MW",RST,001G,RST 001G,WELLMN 106,A01,Myth Ritual Symbol,"Brizendine, R",4.0
562,44484,"11:30 - 11:50 AM, MW",RST,141B,RST 141B,OLSON 105,001,New Test Lit: John,"Terry, W",4.0
563,44685,"5:10 - 6:00 PM, TR",SAS,025,SAS 025,WELLMN 216,A01,Global Climate Change,"Bloom, A",4.0
564,41308,"3:10 - 4:00 PM, T",SAS,025V,SAS 025V,ONLINE,A01,Global Climate Change,"Bloom, A",4.0
565,45349,"3:40 - 6:00 PM, TR",SAS,070A,SAS 070A,REMOTE TBA,001,Genetic Engin Med Ag Law,"Harada, J",5.0
566,45037,"5:10 - 6:00 PM, W",SOC,046,SOC 046,PHYSIC 130,A01,Intro Social Resrch Meth,"Ozdemir, C",4.0
567,45048,"9:00 - 9:50 AM, F",SOC,056,SOC 056,REMOTE,A01,Intro to Social Stats,"Hibel, J",5.0
568,41673,"9:00 - 10:20 AM, TR",SPA,002Y,SPA 002Y,OLSON 267,001,Elementary Spanish,"Sanchez-Gutierrez, C",5.0
569,41693,TBA,SPA,032,SPA 032,TBA,001,Span-Native Speakers II,"Carando, A",5.0
570,41712,TBA,SPA,111N,SPA 111N,REMOTE,001,Sounds & Words,"Bradley, T",3.0
571,44282,"4:10 - 7:00 PM, R",SPA,257,SPA 257,OLSON 144,001,Spanish Lit: Drama,"Jones, N",4.0
572,44281,"4:10 - 7:00 PM, M",SPA,279,SPA 279,WELLMN 3,001,Mexican Narrative,"Vazquez Enriquez, E",4.0
573,42582,"9:00 - 9:50 AM, T",STA,141A,STA 141A,WELLMN 1,A01,Statistical Data Science,"Chen, S",4.0
574,42586,"9:00 - 10:20 AM, TR",STA,141C,STA 141C,YOUNG 194,A01,Adv Stat Computing,"Ning, B",4.0
575,45584,"1:10 - 4:00 PM, W",REL,231E,REL 231E,CHSL 109,001,Hist/Thry/Crit Hum Right,"Watenpaugh, K",4.0
576,43082,"4:10 - 6:00 PM, MW",UWP,007M,UWP 007M,STORER 347,001,Multilingual Writing,"Lester, S",4.0
577,43090,"10:00 - 11:50 AM, T",UWP,007Y,UWP 007Y,STORER 347,001,Reading & Writing,The Staff,4.0
578,43261,"3:10 - 4:30 PM, T",UWP,101Y,UWP 101Y,OLSON 241,001,Advanced Composition,"Ross, A",4.0
579,43278,TBA,UWP,102C,UWP 102C,REMASY,001,Writing in History,"Azevedo, J",4.0
580,43285,"9:00 - 10:20 AM, MW",UWP,102H,UWP 102H,OLSON 21,001,Writ in HumDev and Psych,"Foss, E",4.0
581,43288,"6:10 - 9:00 PM, T",UWP,102J,UWP 102J,SHLDS 90B,001,Writing in the Fine Arts,"Miller, G",4.0
582,45540,"3:10 - 4:30 PM, TR",UWP,102K,UWP 102K,OLSON 247,001,Writing in Sociology,"Hemstrom, C",4.0
583,43289,"12:10 - 1:30 PM, MW",UWP,102L,UWP 102L,SHLDS 90B,001,Writing in Film Studies,"Horton, J",4.0
584,43290,"9:00 - 10:20 AM, MW",UWP,104A,UWP 104A,SHLDS 90B,001,Business Writing,The Staff,4.0
585,43313,"6:10 - 9:00 PM, W",UWP,104C,UWP 104C,SHLDS 90B,001,Journalism,"Abramsky, S",4.0
586,43317,"12:10 - 1:30 PM, MW",UWP,104D,UWP 104D,OLSON 21,001,Writing in Education,"Arosteguy, K",4.0
587,43322,"10:30 - 11:50 AM, MW",UWP,104E,UWP 104E,OLSON 241,001,Writing in Science,"Williams, N",4.0
588,43328,"4:40 - 6:00 PM, TR",UWP,104F,UWP 104F,OLSON 241,002,Writing in Health Prof,"Hemstrom, C",4.0
589,45041,TBA,UWP,104FY,UWP 104FY,REMASY,001,Writing in Health Prof,"Sententia, W",4.0
590,43335,"4:40 - 6:00 PM, MW",UWP,104J,UWP 104J,OLSON 1,001,Writing Social Justice,"Abramsky, S",4.0
591,43336,"12:10 - 1:30 PM, TR",UWP,104T,UWP 104T,OLSON 27,001,Technical Writing,"Gubala, C",4.0
592,45523,"6:10 - 9:00 PM, W",UWP,111B,UWP 111B,SHLDS 90A,001,Investigative Journalism,"Magagnini, S",4.0
593,43343,"10:30 - 11:50 AM, MW",UWP,112A,UWP 112A,SHLDS 90B,001,Intro to Prof Editing,"Masiel, D",4.0
594,43588,"6:40 - 7:00 PM, TR",UWP,391,UWP 391,YOUNG 184,001,Oral English-ESL,"Lane, J",4.0
595,43625,TBA,VEN,126L,VEN 126L,TBA,002,Wine Stability Lab,"Runnebaum, R",2.0
596,43627,"2:10 - 5:00 PM, TR",VEN,128L,VEN 128L,TBA,A01,Wine Microbiology Lab,"Montpetit, B",2.0
597,43822,"3:10 - 4:30 PM, TR",VME,158,VME 158,WELLMN 2,001,Disease Ecology,"Foley, J",3.0
598,43788,"10:00 - 12:00 PM, M",VMB,253,VMB 253,OLSON 159,001,Toxicant/Drug Metabolism,"Yu, A",2.0
599,43789,"2:10 - 3:00 PM, MWF",VMB,254,VMB 254,VALLEY 1010,001,Tox Respiratory Sys,"Pinkerton, K",3.0
600,39631,"12:10 - 1:30 PM, TR",PMI,129Y,PMI 129Y,GIEDT 1002,001,One Health Fundamentals,"Keel,Shapiro",3.0
601,43929,"3:10 - 6:00 PM, WF",WFC,134L,WFC 134L,ACADSR 1371,001,Herpetology Laboratory,"Todd, B",3.0
602,44107,"2:10 - 3:00 PM, MWF",WLD,912,WLD 912,OLSON 106,004,Wkload - Math Co 16B,"Acosta, G",0.0
603,44120,"1:10 - 2:00 PM, MW",WLD,951,WLD 951,OLSON 101,003,Wkload-Chemistry Co 2A,0,
